Year,Quarter,UNIT_MEASURE,Sex,Age,Value
2021,Q3,%,F,15 - 74,21.0
2021,Q3,%,F,15 - 24,45.0
2021,Q3,%,F,25 - 49,20.0
2021,Q3,%,F,50 - 64,14.0
2021,Q3,%,F,15 - 64,21.0
2021,Q3,%,F,20 - 64,21.0
2021,Q3,%,F,25 - 34,22.0
2021,Q3,%,F,15 - 74,21.0
2021,Q4,%,Both sexes,15 - 74,16.0
2021,Q4,%,Both sexes,15 - 24,35.0
2021,Q4,%,Both sexes,25 - 49,15.0
2021,Q4,%,Both sexes,50 - 64,12.0
2021,Q4,%,Both sexes,15 - 64,16.0
2021,Q4,%,Both sexes,20 - 64,16.0
2021,Q4,%,Both sexes,25 - 34,19.0
2021,Q4,%,Both sexes,15 - 74,16.0
2021,Q4,%,M,15 - 74,13.0
2021,Q4,%,M,15 - 24,33.0
2021,Q4,%,M,25 - 49,12.0
2021,Q4,%,M,50 - 64,10.0
2021,Q4,%,M,15 - 64,13.0
2021,Q4,%,M,20 - 64,13.0
2021,Q4,%,M,25 - 34,16.0
2021,Q4,%,M,15 - 74,13.0
2021,Q4,%,F,15 - 74,20.0
2021,Q4,%,F,15 - 24,38.0
2021,Q4,%,F,25 - 49,20.0
2021,Q4,%,F,50 - 64,16.0
2021,Q4,%,F,15 - 64,20.0
2021,Q4,%,F,20 - 64,20.0
2021,Q4,%,F,25 - 34,23.0
2021,Q4,%,F,15 - 74,20.0
2022,Q1,%,Both sexes,15 - 74,17.0
2022,Q1,%,Both sexes,15 - 24,36.0
2022,Q1,%,Both sexes,25 - 49,16.0
2022,Q1,%,Both sexes,50 - 64,13.0
2022,Q1,%,Both sexes,15 - 64,17.0
2022,Q1,%,Both sexes,20 - 64,17.0
2022,Q1,%,Both sexes,25 - 34,21.0
2022,Q1,%,Both sexes,15 - 74,17.0
2022,Q1,%,M,15 - 74,14.0
2022,Q1,%,M,15 - 24,32.0
2022,Q1,%,M,25 - 49,13.0
2022,Q1,%,M,50 - 64,11.0
2022,Q1,%,M,15 - 64,14.0
2022,Q1,%,M,20 - 64,14.0
2022,Q1,%,M,25 - 34,16.0
2022,Q1,%,M,15 - 74,14.0
2022,Q1,%,F,15 - 74,21.0
2022,Q1,%,F,15 - 24,42.0
2022,Q1,%,F,25 - 49,21.0
2022,Q1,%,F,50 - 64,16.0
2022,Q1,%,F,15 - 64,21.0
2022,Q1,%,F,20 - 64,21.0
2022,Q1,%,F,25 - 34,27.0
2022,Q1,%,F,15 - 74,21.0
2022,Q2,%,Both sexes,15 - 74,16.0
2022,Q2,%,Both sexes,15 - 24,36.0
2022,Q2,%,Both sexes,25 - 49,15.0
2022,Q2,%,Both sexes,50 - 64,12.0
2022,Q2,%,Both sexes,15 - 64,16.0
2022,Q2,%,Both sexes,20 - 64,16.0
2022,Q2,%,Both sexes,25 - 34,18.0
2022,Q2,%,Both sexes,15 - 74,16.0
2022,Q2,%,M,15 - 74,13.0
2022,Q2,%,M,15 - 24,33.0
2022,Q2,%,M,25 - 49,11.0
2022,Q2,%,M,50 - 64,11.0
2022,Q2,%,M,15 - 64,13.0
2022,Q2,%,M,20 - 64,13.0
2022,Q3,%,M,25 - 34,12.0
2022,Q2,%,M,15 - 74,13.0
2022,Q2,%,F,15 - 74,20.0
2022,Q2,%,F,15 - 24,41.0
2022,Q2,%,F,25 - 49,20.0
2022,Q2,%,F,50 - 64,13.0
2022,Q2,%,F,15 - 64,20.0
2022,Q2,%,F,20 - 64,20.0
2022,Q2,%,F,25 - 34,27.0
2022,Q2,%,F,15 - 74,20.0
