Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2021,Q4,%,F,65 - 74,2.0
2022,Q1,%,_T,15 - 89,40.0
2022,Q1,%,_T,15 - 24,19.0
2022,Q1,%,_T,25 - 49,65.0
2022,Q1,%,_T,50 - 64,41.0
2022,Q1,%,_T,65+,3.0
2022,Q1,%,_T,15 - 64,50.0
2022,Q1,%,_T,20 - 64,54.0
2022,Q1,%,_T,25 - 34,60.0
2022,Q1,%,_T,15 - 74,43.0
2022,Q1,%,_T,65 - 74,4.0
2022,Q1,%,M,15 - 89,51.0
2022,Q1,%,M,15 - 24,24.0
2022,Q1,%,M,25 - 49,77.0
2022,Q1,%,M,50 - 64,56.0
2022,Q1,%,M,65+,4.0
2022,Q1,%,M,15 - 64,62.0
2022,Q1,%,M,20 - 64,66.0
2022,Q1,%,M,25 - 34,72.0
2022,Q1,%,M,15 - 74,54.0
2022,Q1,%,M,65 - 74,5.0
2022,Q1,%,F,15 - 89,29.0
2022,Q1,%,F,15 - 24,13.0
2022,Q1,%,F,25 - 49,52.0
2022,Q1,%,F,50 - 64,28.0
2022,Q1,%,F,65+,2.0
2022,Q1,%,F,15 - 64,38.0
2022,Q1,%,F,20 - 64,41.0
2022,Q1,%,F,25 - 34,47.0
2022,Q1,%,F,15 - 74,32.0
2022,Q1,%,F,65 - 74,2.0
2022,Q2,%,_T,15 - 89,40.0
2022,Q2,%,_T,15 - 24,19.0
2022,Q2,%,_T,25 - 49,65.0
2022,Q2,%,_T,50 - 64,41.0
2022,Q2,%,_T,65+,2.0
2022,Q2,%,_T,15 - 64,50.0
2022,Q2,%,_T,20 - 64,54.0
2022,Q2,%,_T,25 - 34,61.0
2022,Q2,%,_T,15 - 74,43.0
2022,Q2,%,_T,65 - 74,4.0
2022,Q2,%,M,15 - 89,52.0
2022,Q2,%,M,15 - 24,24.0
2022,Q2,%,M,25 - 49,79.0
2022,Q2,%,M,50 - 64,55.0
2022,Q2,%,M,65+,4.0
2022,Q2,%,M,15 - 64,62.0
2022,Q2,%,M,20 - 64,67.0
2022,Q2,%,M,25 - 34,76.0
2022,Q2,%,M,15 - 74,55.0
2022,Q2,%,M,65 - 74,5.0
2022,Q2,%,F,15 - 89,29.0
2022,Q2,%,F,15 - 24,13.0
2022,Q2,%,F,25 - 49,50.0
2022,Q2,%,F,50 - 64,28.0
2022,Q2,%,F,65+,1.0
2022,Q2,%,F,15 - 64,37.0
2022,Q2,%,F,20 - 64,40.0
2022,Q2,%,F,25 - 34,46.0
2022,Q2,%,F,15 - 74,32.0
2022,Q2,%,F,65 - 74,2.0
