Year,UNIT_MEASURE,Пол,Старосна доб,Oпштина,Value
2013,Број,M,40-44,Градачац,1490
2013,Број,Ж,40-44,Градачац,1513
2013,Број,Оба пола,40-44,Градишка,3369
2013,Број,M,40-44,Градишка,1717
2013,Број,Ж,40-44,Градишка,1652
2013,Број,Оба пола,40-44,Груде,1170
2013,Број,M,40-44,Груде,595
2013,Број,Ж,40-44,Груде,575
2013,Број,Оба пола,40-44,Сарајево-Хаџићи,1633
2013,Број,M,40-44,Сарајево-Хаџићи,832
2013,Број,Ж,40-44,Сарајево-Хаџићи,801
2013,Број,Оба пола,40-44,Хан Пијесак,194
2013,Број,M,40-44,Хан Пијесак,96
2013,Број,Ж,40-44,Хан Пијесак,98
2013,Број,Оба пола,40-44,Сарајево-Илиџа,4564
2013,Број,M,40-44,Сарајево-Илиџа,2208
2013,Број,Ж,40-44,Сарајево-Илиџа,2356
2013,Број,Оба пола,40-44,Сарајево-Илијаш,1350
2013,Број,M,40-44,Сарајево-Илијаш,645
2013,Број,Ж,40-44,Сарајево-Илијаш,705
2013,Број,Оба пола,40-44,Источна Илиџа,892
2013,Број,M,40-44,Источна Илиџа,470
2013,Број,Ж,40-44,Источна Илиџа,422
2013,Број,Оба пола,40-44,Источни Дрвар,4
2013,Број,M,40-44,Источни Дрвар,4
2013,Број,Ж,40-44,Источни Дрвар,0
2013,Број,Оба пола,40-44,Источни Мостар,26
2013,Број,M,40-44,Источни Мостар,19
2013,Број,Ж,40-44,Источни Мостар,7
2013,Број,Оба пола,40-44,Источни Стари Град,46
2013,Број,M,40-44,Источни Стари Град,22
2013,Број,Ж,40-44,Источни Стари Град,24
2013,Број,Оба пола,40-44,Источно Ново Сарајево,654
2013,Број,M,40-44,Источно Ново Сарајево,356
2013,Број,Ж,40-44,Источно Ново Сарајево,298
2013,Број,Оба пола,40-44,Јабланица,648
2013,Број,M,40-44,Јабланица,334
2013,Број,Ж,40-44,Јабланица,314
2013,Број,Оба пола,40-44,Јајце,2004
2013,Број,M,40-44,Јајце,1073
2013,Број,Ж,40-44,Јајце,931
2013,Број,Оба пола,40-44,Језеро,78
2013,Број,M,40-44,Језеро,46
2013,Број,Ж,40-44,Језеро,32
2013,Број,Оба пола,40-44,Какањ,2585
2013,Број,M,40-44,Какањ,1270
2013,Број,Ж,40-44,Какањ,1315
2013,Број,Оба пола,40-44,Калесија,2511
2013,Број,M,40-44,Калесија,1255
2013,Број,Ж,40-44,Калесија,1256
2013,Број,Оба пола,40-44,Калиновик,89
2013,Број,M,40-44,Калиновик,49
2013,Број,Ж,40-44,Калиновик,40
2013,Број,Оба пола,40-44,Кисељак,1395
2013,Број,M,40-44,Кисељак,721
2013,Број,Ж,40-44,Кисељак,674
2013,Број,Оба пола,40-44,Кладањ,919
2013,Број,M,40-44,Кладањ,470
2013,Број,Ж,40-44,Кладањ,449
2013,Број,Оба пола,40-44,Кључ,1339
2013,Број,M,40-44,Кључ,683
2013,Број,Ж,40-44,Кључ,656
2013,Број,Оба пола,40-44,Кнежево,681
2013,Број,M,40-44,Кнежево,376
2013,Број,Ж,40-44,Кнежево,305
2013,Број,Оба пола,40-44,Коњиц,1779
2013,Број,M,40-44,Коњиц,917
2013,Број,Ж,40-44,Коњиц,862
2013,Број,Оба пола,40-44,Костајница,425
2013,Број,M,40-44,Костајница,202
2013,Број,Ж,40-44,Костајница,223
2013,Број,Оба пола,40-44,Котор Варош,1490
2013,Број,M,40-44,Котор Варош,748
2013,Број,Ж,40-44,Котор Варош,742
2013,Број,Оба пола,40-44,Козарска Дубица,1276
2013,Број,M,40-44,Козарска Дубица,661
2013,Број,Ж,40-44,Козарска Дубица,615
2013,Број,Оба пола,40-44,Крешево,328
2013,Број,M,40-44,Крешево,173
2013,Број,Ж,40-44,Крешево,155
2013,Број,Оба пола,40-44,Крупа на Уни,111
2013,Број,M,40-44,Крупа на Уни,70
2013,Број,Ж,40-44,Крупа на Уни,41
2013,Број,Оба пола,40-44,Купрес-ФБиХ,343
2013,Број,M,40-44,Купрес-ФБиХ,173
2013,Број,Ж,40-44,Купрес-ФБиХ,170
2013,Број,Оба пола,40-44,Купрес-РС,17
2013,Број,M,40-44,Купрес-РС,8
2013,Број,Ж,40-44,Купрес-РС,9
2013,Број,Оба пола,40-44,Лакташи,2365
2013,Број,M,40-44,Лакташи,1216
2013,Број,Ж,40-44,Лакташи,1149
2013,Број,Оба пола,40-44,Ливно,2567
2013,Број,M,40-44,Ливно,1295
2013,Број,Ж,40-44,Ливно,1272
2013,Број,Оба пола,40-44,Лопаре,1007
2013,Број,M,40-44,Лопаре,520
2013,Број,Ж,40-44,Лопаре,487
2013,Број,Оба пола,40-44,Лукавац,3009
2013,Број,M,40-44,Лукавац,1465
2013,Број,Ж,40-44,Лукавац,1544
2013,Број,Оба пола,40-44,Љубиње,229
2013,Број,M,40-44,Љубиње,137
2013,Број,Ж,40-44,Љубиње,92
2013,Број,Оба пола,40-44,Љубушки,1922
2013,Број,M,40-44,Љубушки,1007
2013,Број,Ж,40-44,Љубушки,915
2013,Број,Оба пола,40-44,Маглај,1649
2013,Број,M,40-44,Маглај,819
2013,Број,Ж,40-44,Маглај,830
2013,Број,Оба пола,40-44,Милићи,761
2013,Број,M,40-44,Милићи,423
2013,Број,Ж,40-44,Милићи,338
2013,Број,Оба пола,40-44,Модрича,1699
2013,Број,M,40-44,Модрича,868
2013,Број,Ж,40-44,Модрича,831
2013,Број,Оба пола,40-44,Мостар,6765
2013,Број,M,40-44,Мостар,3389
2013,Број,Ж,40-44,Мостар,3376
2013,Број,Оба пола,40-44,Мркоњић Град,1008
2013,Број,M,40-44,Мркоњић Град,525
2013,Број,Ж,40-44,Мркоњић Град,483
2013,Број,Оба пола,40-44,Неум,286
2013,Број,M,40-44,Неум,154
2013,Број,Ж,40-44,Неум,132
2013,Број,Оба пола,40-44,Невесиње,847
2013,Број,M,40-44,Невесиње,453
2013,Број,Ж,40-44,Невесиње,394
2013,Број,Оба пола,40-44,Нови Град,1931
2013,Број,M,40-44,Нови Град,1007
2013,Број,Ж,40-44,Нови Град,924
2013,Број,Оба пола,40-44,Сарајево-Нови Град,7789
2013,Број,M,40-44,Сарајево-Нови Град,3746
2013,Број,Ж,40-44,Сарајево-Нови Град,4043
2013,Број,Оба пола,40-44,Нови Травник,1727
2013,Број,M,40-44,Нови Травник,882
2013,Број,Ж,40-44,Нови Травник,845
2013,Број,Оба пола,40-44,Ново Горажде,180
2013,Број,M,40-44,Ново Горажде,101
2013,Број,Ж,40-44,Ново Горажде,79
2013,Број,Оба пола,40-44,Сарајево-Ново Сарајево,4120
2013,Број,M,40-44,Сарајево-Ново Сарајево,1840
2013,Број,Ж,40-44,Сарајево-Ново Сарајево,2280
2013,Број,Оба пола,40-44,Оџак,1515
2013,Број,M,40-44,Оџак,772
2013,Број,Ж,40-44,Оџак,743
2013,Број,Оба пола,40-44,Олово,661
2013,Број,M,40-44,Олово,329
2013,Број,Ж,40-44,Олово,332
2013,Број,Оба пола,40-44,Орашје,1662
2013,Број,M,40-44,Орашје,897
2013,Број,Ж,40-44,Орашје,765
2013,Број,Оба пола,40-44,Осмаци,405
2013,Број,M,40-44,Осмаци,218
2013,Број,Ж,40-44,Осмаци,187
2013,Број,Оба пола,40-44,Оштра Лука,180
2013,Број,M,40-44,Оштра Лука,106
2013,Број,Ж,40-44,Оштра Лука,74
2013,Број,Оба пола,40-44,Пале-ФБиХ,60
2013,Број,M,40-44,Пале-ФБиХ,24
2013,Број,Ж,40-44,Пале-ФБиХ,36
2013,Број,Оба пола,40-44,Пале-РС,1109
2013,Број,M,40-44,Пале-РС,537
2013,Број,Ж,40-44,Пале-РС,572
2013,Број,Оба пола,40-44,Пелагићево,361
2013,Број,M,40-44,Пелагићево,212
2013,Број,Ж,40-44,Пелагићево,149
2013,Број,Оба пола,40-44,Петровац,20
2013,Број,M,40-44,Петровац,10
2013,Број,Ж,40-44,Петровац,10
2013,Број,Оба пола,40-44,Петрово,345
2013,Број,M,40-44,Петрово,166
2013,Број,Ж,40-44,Петрово,179
2013,Број,Оба пола,40-44,Посушје,1536
2013,Број,M,40-44,Посушје,764
2013,Број,Ж,40-44,Посушје,772
2013,Број,Оба пола,40-44,Приједор,6233
2013,Број,M,40-44,Приједор,3148
2013,Број,Ж,40-44,Приједор,3085
2013,Број,Оба пола,40-44,Прњавор,2342
2013,Број,M,40-44,Прњавор,1212
2013,Број,Ж,40-44,Прњавор,1130
2013,Број,Оба пола,40-44,Прозор,1020
2013,Број,M,40-44,Прозор,520
2013,Број,Ж,40-44,Прозор,500
2013,Број,Оба пола,40-44,Равно,243
2013,Број,M,40-44,Равно,130
2013,Број,Ж,40-44,Равно,113
2013,Број,Оба пола,40-44,Рибник,395
2013,Број,M,40-44,Рибник,231
2013,Број,Ж,40-44,Рибник,164
2013,Број,Оба пола,40-44,Рогатица,575
2013,Број,M,40-44,Рогатица,314
2013,Број,Ж,40-44,Рогатица,261
2013,Број,Оба пола,40-44,Рудо,507
2013,Број,M,40-44,Рудо,271
2013,Број,Ж,40-44,Рудо,236
2013,Број,Оба пола,40-44,Сански Мост,3389
2013,Број,M,40-44,Сански Мост,1724
2013,Број,Ж,40-44,Сански Мост,1665
2013,Број,Оба пола,40-44,Сапна,897
2013,Број,M,40-44,Сапна,482
2013,Број,Ж,40-44,Сапна,415
2013,Број,Оба пола,40-44,Соколац,604
2013,Број,M,40-44,Соколац,305
