Year,UNIT_MEASURE,SEX,AGE,Value
2030,NUMBER,_T,3,15766
2030,NUMBER,_T,4,16095
2030,NUMBER,_T,5,16448
2030,NUMBER,_T,6,16813
2030,NUMBER,_T,7,17175
2030,NUMBER,_T,8,17515
2030,NUMBER,_T,9,17821
2030,NUMBER,_T,10,18153
2030,NUMBER,_T,11,16536
2030,NUMBER,_T,12,17693
2030,NUMBER,_T,13,18307
2030,NUMBER,_T,14,18890
2030,NUMBER,_T,15,18592
2030,NUMBER,_T,16,19051
2030,NUMBER,_T,17,20571
2030,NUMBER,_T,18,21469
2030,NUMBER,_T,19,21079
2030,NUMBER,_T,20,21486
2030,NUMBER,_T,21,21328
2030,NUMBER,_T,22,20654
2030,NUMBER,_T,23,19302
2030,NUMBER,_T,24,18935
2030,NUMBER,_T,25,18670
2030,NUMBER,_T,26,18196
2030,NUMBER,_T,27,18547
2030,NUMBER,_T,28,18342
2030,NUMBER,_T,29,18939
2030,NUMBER,_T,30,19412
2030,NUMBER,_T,31,20578
2030,NUMBER,_T,32,22823
2030,NUMBER,_T,33,26802
2030,NUMBER,_T,34,27053
2030,NUMBER,_T,35,26884
2030,NUMBER,_T,36,21830
2030,NUMBER,_T,37,20748
2030,NUMBER,_T,38,24706
2030,NUMBER,_T,39,26978
2030,NUMBER,_T,40,26974
2030,NUMBER,_T,41,27038
2030,NUMBER,_T,42,28240
2030,NUMBER,_T,43,28026
2030,NUMBER,_T,44,28207
2030,NUMBER,_T,45,28412
2030,NUMBER,_T,46,29603
2030,NUMBER,_T,47,28601
2030,NUMBER,_T,48,28686
2030,NUMBER,_T,49,29288
2030,NUMBER,_T,50,28779
2030,NUMBER,_T,51,28557
2030,NUMBER,_T,52,28752
2030,NUMBER,_T,53,28803
2030,NUMBER,_T,54,29707
2030,NUMBER,_T,55,28919
2030,NUMBER,_T,56,28732
2030,NUMBER,_T,57,28481
2030,NUMBER,_T,58,29580
2030,NUMBER,_T,59,28956
2030,NUMBER,_T,60,27714
2030,NUMBER,_T,61,29606
2030,NUMBER,_T,62,29759
2030,NUMBER,_T,63,30501
2030,NUMBER,_T,64,31056
2030,NUMBER,_T,65,31198
2030,NUMBER,_T,66,30719
2030,NUMBER,_T,67,30701
2030,NUMBER,_T,68,31231
2030,NUMBER,_T,69,30328
2030,NUMBER,_T,70,29371
2030,NUMBER,_T,71,28714
2030,NUMBER,_T,72,26448
2030,NUMBER,_T,73,24404
2030,NUMBER,_T,74,23955
2030,NUMBER,_T,75,23171
2030,NUMBER,_T,76,21215
2030,NUMBER,_T,77,20182
2030,NUMBER,_T,78,17623
2030,NUMBER,_T,79,15213
2030,NUMBER,_T,80,14361
2030,NUMBER,_T,81,12944
2030,NUMBER,_T,82,10793
2030,NUMBER,_T,83,10544
2030,NUMBER,_T,84,7506
2030,NUMBER,_T,85,6350
2030,NUMBER,_T,86,5369
2030,NUMBER,_T,87,4810
2030,NUMBER,_T,88,4690
2030,NUMBER,_T,89,4266
2030,NUMBER,_T,90,3869
2030,NUMBER,_T,91,2973
2030,NUMBER,_T,92,2400
2030,NUMBER,_T,93,1815
2030,NUMBER,_T,94,1382
2030,NUMBER,_T,95,1002
2030,NUMBER,_T,96,748
2030,NUMBER,_T,97,492
2030,NUMBER,_T,98,314
2030,NUMBER,_T,99,201
2030,NUMBER,_T,100,123
2030,NUMBER,_T,101,73
2030,NUMBER,_T,102,43
2030,NUMBER,_T,103,24
2030,NUMBER,_T,104,13
2030,NUMBER,_T,105,7
2030,NUMBER,_T,106,4
