Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2020,2035,F,120+,0
2020,2040,F,0-4,29257
2020,2040,F,44809,32283
2020,2040,F,41913,36564
2020,2040,F,15-19,40335
2020,2040,F,20-24,38886
2020,2040,F,25-29,40490
2020,2040,F,30-34,42609
2020,2040,F,35-39,42855
2020,2040,F,40-44,56359
2020,2040,F,45-49,59663
2020,2040,F,50-54,68466
2020,2040,F,55-59,72123
2020,2040,F,60-64,72340
2020,2040,F,65-69,71441
2020,2040,F,70-74,69382
2020,2040,F,75-79,66084
2020,2040,F,80-84,49727
2020,2040,F,85-89,28986
2020,2040,F,90-94,11363
2020,2040,F,95-99,2615
2020,2040,F,100-104,516
2020,2040,F,105-109,34
2020,2040,F,110-114,1
2020,2040,F,115-119,0
2020,2040,F,120+,0
2020,2045,F,0-4,26464
2020,2045,F,44809,28736
2020,2045,F,41913,32051
2020,2045,F,15-19,35700
2020,2045,F,20-24,36757
2020,2045,F,25-29,34978
2020,2045,F,30-34,38072
2020,2045,F,35-39,41095
2020,2045,F,40-44,41872
2020,2045,F,45-49,55053
2020,2045,F,50-54,58776
2020,2045,F,55-59,67575
2020,2045,F,60-64,70988
2020,2045,F,65-69,70199
2020,2045,F,70-74,67007
2020,2045,F,75-79,61634
2020,2045,F,80-84,53432
2020,2045,F,85-89,34426
2020,2045,F,90-94,15651
2020,2045,F,95-99,4206
2020,2045,F,100-104,579
2020,2045,F,105-109,60
2020,2045,F,110-114,2
2020,2045,F,115-119,0
2020,2045,F,120+,0
2020,2050,F,0-4,23987
2020,2050,F,44809,25994
2020,2050,F,41913,28549
2020,2050,F,15-19,31328
2020,2050,F,20-24,32562
2020,2050,F,25-29,32980
2020,2050,F,30-34,32951
2020,2050,F,35-39,36742
2020,2050,F,40-44,40083
2020,2050,F,45-49,41107
2020,2050,F,50-54,54255
2020,2050,F,55-59,58124
2020,2050,F,60-64,66567
2020,2050,F,65-69,68985
2020,2050,F,70-74,66109
2020,2050,F,75-79,60078
2020,2050,F,80-84,50570
2020,2050,F,85-89,37849
2020,2050,F,90-94,19331
2020,2050,F,95-99,6135
2020,2050,F,100-104,1024
2020,2050,F,105-109,71
2020,2050,F,110-114,3
2020,2050,F,115-119,0
2020,2050,F,120+,0
2020,2055,F,0-4,21784
2020,2055,F,44809,23557
2020,2055,F,41913,25822
2020,2055,F,15-19,27921
2020,2055,F,20-24,28608
2020,2055,F,25-29,29248
2020,2055,F,30-34,31006
2020,2055,F,35-39,31853
2020,2055,F,40-44,35853
2020,2055,F,45-49,39296
2020,2055,F,50-54,40698
2020,2055,F,55-59,53674
2020,2055,F,60-64,57384
2020,2055,F,65-69,64796
2020,2055,F,70-74,65200
2020,2055,F,75-79,59690
2020,2055,F,80-84,50012
2020,2055,F,85-89,36599
2020,2055,F,90-94,21929
2020,2055,F,95-99,7962
2020,2055,F,100-104,1589
2020,2055,F,105-109,138
2020,2055,F,110-114,4
2020,2055,F,115-119,0
2020,2055,F,120+,0
2020,2060,F,0-4,19712
2020,2060,F,44809,21389
2020,2060,F,41913,23398
2020,2060,F,15-19,25254
2020,2060,F,20-24,25515
2020,2060,F,25-29,25730
2020,2060,F,30-34,27522
2020,2060,F,35-39,29925
2020,2060,F,40-44,31131
2020,2060,F,45-49,35168
2020,2060,F,50-54,38865
2020,2060,F,55-59,40448
2020,2060,F,60-64,53025
2020,2060,F,65-69,56003
2020,2060,F,70-74,61442
2020,2060,F,75-79,59248
2020,2060,F,80-84,50253
2020,2060,F,85-89,37000
2020,2060,F,90-94,21837
2020,2060,F,95-99,9392
2020,2060,F,100-104,2175
2020,2060,F,105-109,226
2020,2060,F,110-114,8
2020,2060,F,115-119,0
2020,2060,F,120+,0
2020,2065,F,0-4,17708
2020,2065,F,44809,19354
2020,2065,F,41913,21241
2020,2065,F,15-19,22881
2020,2065,F,20-24,23078
2020,2065,F,25-29,22964
2020,2065,F,30-34,24242
2020,2065,F,35-39,26584
2020,2065,F,40-44,29208
2020,2065,F,45-49,30579
2020,2065,F,50-54,34806
2020,2065,F,55-59,38603
2020,2065,F,60-64,40152
2020,2065,F,65-69,51810
2020,2065,F,70-74,53304
2020,2065,F,75-79,56157
2020,2065,F,80-84,50418
2020,2065,F,85-89,37848
2020,2065,F,90-94,22787
2020,2065,F,95-99,9710
2020,2065,F,100-104,2676
2020,2065,F,105-109,326
2020,2065,F,110-114,14
2020,2065,F,115-119,0
2020,2065,F,120+,0
2020,2070,F,0-4,15926
2020,2070,F,44809,17393
2020,2070,F,41913,19222
2020,2070,F,15-19,20772
2020,2070,F,20-24,20911
2020,2070,F,25-29,20774
2020,2070,F,30-34,21650
2020,2070,F,35-39,23441
2020,2070,F,40-44,25969
2020,2070,F,45-49,28665
2020,2070,F,50-54,30307
2020,2070,F,55-59,34600
2020,2070,F,60-64,38317
2020,2070,F,65-69,39422
2020,2070,F,70-74,49425
2020,2070,F,75-79,49004
2020,2070,F,80-84,48236
2020,2070,F,85-89,38613
2020,2070,F,90-94,23908
2020,2070,F,95-99,10555
2020,2070,F,100-104,2880
2020,2070,F,105-109,416
2020,2070,F,110-114,20
2020,2070,F,115-119,0
2020,2070,F,120+,0
