Year,Quarter,UNIT_MEASURE,SEX,AGE,Value
2021,Q3,%,F,15 - 74,21
2021,Q3,%,F,15 - 24,45
2021,Q3,%,F,25 - 49,20
2021,Q3,%,F,50 - 64,14
2021,Q3,%,F,15 - 64,21
2021,Q3,%,F,20 - 64,21
2021,Q3,%,F,25 - 34,22
2021,Q3,%,F,15 - 74,21
2021,Q4,%,_T,15 - 74,16
2021,Q4,%,_T,15 - 24,35
2021,Q4,%,_T,25 - 49,15
2021,Q4,%,_T,50 - 64,12
2021,Q4,%,_T,15 - 64,16
2021,Q4,%,_T,20 - 64,16
2021,Q4,%,_T,25 - 34,19
2021,Q4,%,_T,15 - 74,16
2021,Q4,%,M,15 - 74,13
2021,Q4,%,M,15 - 24,33
2021,Q4,%,M,25 - 49,12
2021,Q4,%,M,50 - 64,10
2021,Q4,%,M,15 - 64,13
2021,Q4,%,M,20 - 64,13
2021,Q4,%,M,25 - 34,16
2021,Q4,%,M,15 - 74,13
2021,Q4,%,F,15 - 74,20
2021,Q4,%,F,15 - 24,38
2021,Q4,%,F,25 - 49,20
2021,Q4,%,F,50 - 64,16
2021,Q4,%,F,15 - 64,20
2021,Q4,%,F,20 - 64,20
2021,Q4,%,F,25 - 34,23
2021,Q4,%,F,15 - 74,20
2022,Q1,%,_T,15 - 74,17
2022,Q1,%,_T,15 - 24,36
2022,Q1,%,_T,25 - 49,16
2022,Q1,%,_T,50 - 64,13
2022,Q1,%,_T,15 - 64,17
2022,Q1,%,_T,20 - 64,17
2022,Q1,%,_T,25 - 34,21
2022,Q1,%,_T,15 - 74,17
2022,Q1,%,M,15 - 74,14
2022,Q1,%,M,15 - 24,32
2022,Q1,%,M,25 - 49,13
2022,Q1,%,M,50 - 64,11
2022,Q1,%,M,15 - 64,14
2022,Q1,%,M,20 - 64,14
2022,Q1,%,M,25 - 34,16
2022,Q1,%,M,15 - 74,14
2022,Q1,%,F,15 - 74,21
2022,Q1,%,F,15 - 24,42
2022,Q1,%,F,25 - 49,21
2022,Q1,%,F,50 - 64,16
2022,Q1,%,F,15 - 64,21
2022,Q1,%,F,20 - 64,21
2022,Q1,%,F,25 - 34,27
2022,Q1,%,F,15 - 74,21
2022,Q2,%,_T,15 - 74,16
2022,Q2,%,_T,15 - 24,36
2022,Q2,%,_T,25 - 49,15
2022,Q2,%,_T,50 - 64,12
2022,Q2,%,_T,15 - 64,16
2022,Q2,%,_T,20 - 64,16
2022,Q2,%,_T,25 - 34,18
2022,Q2,%,_T,15 - 74,16
2022,Q2,%,M,15 - 74,13
2022,Q2,%,M,15 - 24,33
2022,Q2,%,M,25 - 49,11
2022,Q2,%,M,50 - 64,11
2022,Q2,%,M,15 - 64,13
